"id","firstYear","firstName","lastName","gender"
"5159","2001-02","John","Ahern",0
"2157","2001-02","Gary","Alexander",0
"5160","2001-02","Glenn","Anderson",0
"14208","2019-20","Jan","Angel",1
"10031","2005-06","Sherry","Appleton",1
"5161","2001-02","Mike","Armstrong",0
"15782","2009-10","Katrina","Asay",1
"8238","2003-04","Barbara","Bailey",1
"17","2001-02","Clyde","Ballard",0
"617","2001-02","Ida","Ballasiotes",1
"24075","2015-16","Andrew","Barkis",0
"3467","2001-02","Kelly","Barlean",0
"12069","2007-08","Don","Barlow",0
"15780","2019-20","Michael","Baumgartner",0
"16270","2011-12","Jeff","Baxter",0
"14083","2009-10","Randi","Becker",0
"2167","2001-02","Brad","Benson",0
"1583","2001-02","Don","Benton",0
"17227","2013-14","Steve","Bergquist",0
"6765","2001-02","Jean","Berkey",1
"15811","2011-12","Andy","Billig",0
"8317","2003-04","Brian","Blake",0
"29094","2019-20","Matt","Boehnke",0
"1584","2001-02","Marc","Boldt",0
"8159","2003-04","Dale","Brandland",0
"17289","2013-14","John","Braun",0
"27981","2017-18","Marlo","Braun ",1
"618","2001-02","Lisa","Brown",1
"17759","2013-14","Sharon","Brown",1
"1585","2001-02","Jim","Buck",0
"4579","2005-06","David","Buri",0
"2158","2001-02","Roger","Bush",0
"15820","2011-12","Vincent","Buys",0
"1572","2001-02","Jack","Cairnes",0
"20760","2015-16","Michelle","Caldier",1
"29092","2019-20","Lisa","Callan",1
"619","2001-02","Tom","Campbell",0
"620","2001-02","Don","Carlson",0
"14325","2009-10","Reuven","Carlyle",0
"1586","2001-02","Mike","Carrell",0
"72","2001-02","Sarah","Casada",1
"29100","2019-20","Kelly","Chambers",1
"3469","2001-02","Bruce","Chandler",0
"75","2001-02","Gary","Chandler",0
"26176","2017-18","Mike","Chapman",0
"1407","2019-20","Maralyn","Chase",1
"1659","2001-02","Frank","Chopp",0
"18458","2013-14","Leonard","Christian",0
"1587","2001-02","Jim","Clements",0
"17294","2013-14","Annette","Cleveland",1
"8209","2003-04","Judy","Clibborn",1
"1543","2001-02","Eileen","Cody",1
"8237","2003-04","Cary","Condotta",0
"2145","2001-02","Dow","Constantine",0
"972","2001-02","Steve","Conway",0
"2150","2001-02","Mike","Cooper",0
"29097","2019-20","Chris","Corry",0
"1655","2001-02","Jeralita ""Jeri""","Costa",1
"3972","2001-02","Don","Cox",0
"1573","2001-02","Larry","Crouse",0
"10040","2005-06","Richard","Curtis",0
"15771","2011-12","Cathy","Dahlquist",1
"14209","2009-10","Bruce","Dammeier",0
"18146","2013-14","Brian","Dansel",0
"5156","2001-02","Jeannie","Darneille",1
"29087","2019-20","Mona","Das",1
"29104","2019-20","Lauren","Davis",1
"2143","2001-02","Richard","DeBolt",0
"516","2001-02","Alex","Deccio",0
"1574","2001-02","Jerome","Delvin",0
"20761","2015-16","Tom","Dent",0
"28022","2017-18","Manka","Dhingra",1
"1570","2001-02","Mary Lou","Dickerson",1
"26175","2017-18","Beth","Doglio",1
"26174","2017-18","Laurie","Dolan",1
"2174","2001-02","Mark","Doumit",0
"14256","2009-10","John","Driscoll",0
"29877","2019-20","Davina","Duerr",1
"29098","2019-20","Jeremie","Dufault",0
"2146","2001-02","Jim","Dunn",0
"630","2001-02","Hans","Dunshee",0
"21490","2015-16","Mary","Dye",1
"11997","2007-08","Deborah","Eddy",1
"11997","2007-08","Deb","Eddy",1
"3471","2001-02","Carolyn","Edmonds",1
"3470","2001-02","Jeanne","Edwards",1
"2742","2001-02","William ""Ike""","Eickmeyer",0
"633","2001-02","Tracey","Eide",1
"11403","2019-20","Debra","Entenman",1
"10032","2005-06","Mark","Ericks",0
"3473","2001-02","Doug","Ericksen",0
"27988","2017-18","Carolyn","Eslick",1
"3472","2001-02","Luke","Esser",0
"15098","2009-10","Susan","Fagan",1
"15779","2019-20","Joe","Fain",0
"1603","2001-02","Darlene","Fairley",1
"17307","2013-14","Jessyn","Farrell",1
"17241","2013-14","Jake","Fey",0
"635","2001-02","Bill","Finkbeiner",0
"14203","2009-10","Fred","Finn",0
"136","2001-02","Ruth","Fisher",1
"13198","2009-10","Joe","Fitzgibbon",0
"8412","2003-04","Dennis","Flannigan",0
"3474","2017-18","Phil","Fortunato",0
"23902","2015-16","Noel","Frame",1
"142","2001-02","Rosa","Franklin",1
"143","2001-02","Karen","Fraser",1
"17317","2013-14","Roger","Freeman",0
"15821","2011-12","David","Frockt",0
"5158","2001-02","Bill","Fromhold",0
"2153","2001-02","Georgia","Gardner",1
"29101","2019-20","Chris","Gildon",0
"29096","2019-20","Keith","Goehner",0
"1381","2001-02","Jeff","Gombosky",0
"11999","2007-08","Roger","Goodman",0
"15419","2009-10","Randy","Gordon",0
"29093","2019-20","Jenny","Graham",1
"157","2001-02","Bill","Grant",0
"14874","2009-10","Laura","Grant",1
"26169","2017-18","Paul","Graves",0
"10021","2005-06","Tami","Green",1
"18264","2013-14","Mia","Gregerson",1
"21043","2015-16","Carol","Gregory",1
"20752","2015-16","Dan","Griffey",0
"17216","2013-14","Cyrus","Habib",0
"3475","2001-02","Kathy","Haigh",1
"12081","2007-08","Steve","Hailey",0
"1599","2001-02","Patricia","Hale",1
"9996","2005-06","Larry","Haler",0
"167","2001-02","Shirley","Hankins",1
"16499","2011-12","Drew","Hansen",0
"171","2001-02","James","Hargrove",0
"15822","2011-12","Mark","Hargrove",0
"171","2001-02","Jim","Hargrove",0
"20740","2015-16","Mark","Harmsworth",0
"15778","2011-12","Nick","Harper",0
"15813","2011-12","Paul","Harris",0
"10030","2005-06","Bob","Hasegawa",0
"173","2001-02","Brian","Hatfield",0
"174","2001-02","Mary Margaret","Haugen",1
"2006","2013-14","Brad","Hawkins",0
"17219","2013-14","Dave","Hayes",0
"9550","2007-08","Jaime","Herrera",1
"5880","2001-02","Mike","Hewitt",0
"22559","2015-16","Teri","Hickel",1
"15781","2011-12","Andy","Hill",0
"8240","2003-04","Bill","Hinkle",0
"12072","2007-08","Steve","Hobbs",0
"188","2001-02","Harold","Hochstatter",0
"29099","2019-20","Larry","Hoff",0
"3430","2001-02","Jane'a","Holmquist",1
"3430","2001-02","Janéa","Holmquist",1
"3430","2001-02","Janéa","Holmquist Newbry",1
"17223","2013-14","Jeff","Holy",0
"1577","2001-02","Jim","Honeyford",0
"14276","2009-10","Mike","Hope",0
"198","2001-02","Jim","Horn",0
"8215","2003-04","Zack","Hudgins",0
"5155","2001-02","Sam","Hunt",0
"18517","2013-14","Graham","Hunt",0
"8222","2003-04","Ross","Hunter",0
"3486","2001-02","Christopher","Hurst",0
"27522","2017-18","Morgan","Irwin",0
"5150","2001-02","Brock","Jackley",0
"14210","2009-10","Jim","Jacks",0
"207","2001-02","Ken","Jacobsen",0
"5166","2001-02","Fred","Jarrett",0
"20751","2015-16","Pramila","Jayapal",1
"26172","2017-18","Bill","Jenkin",0
"15817","2011-12","Laurie","Jinkins",1
"1602","2001-02","Stephen","Johnson",0
"14211","2009-10","Norm","Johnson",0
"3487","2001-02","Ruth","Kagi",1
"2168","2001-02","Jim","Kastama",0
"12073","2007-08","Claudia","Kauffman",1
"1950","2001-02","Karen","Keiser",1
"12001","2007-08","Troy","Kelley",0
"2314","2001-02","Phyllis","Kenney",1
"2314","2001-02","Phyllis Gutierrez","Kenney",1
"643","2001-02","Lynn","Kessler",1
"20753","2015-16","Christine","Kilduff",1
"10038","2005-06","Derek","Kilmer",0
"13199","2007-08","Curtis","King",0
"5154","2001-02","Steve","Kirby",0
"2304","2001-02","Adam","Kline",0
"14207","2009-10","Brad","Klippert",0
"26168","2017-18","Shelley","Kloba",1
"17287","2013-14","Linda","Kochmar",1
"644","2001-02","Jeanne","Kohl-Welles",1
"1649","2017-18","John","Koster",0
"26173","2017-18","Vicki","Kraft",1
"10041","2005-06","Joel","Kretz",0
"8235","2003-04","Dan","Kristiansen",0
"21520","2015-16","Patty","Kuderer",1
"3038","2011-12","Connie","Ladenburg",1
"1589","2001-02","Kathy","Lambert",1
"2159","2001-02","Patricia","Lantz",1
"9960","2003-04","Bob","Lawrence",0
"29102","2019-20","Mari","Leavitt",1
"29106","2019-20","Debra","Lekanoff",1
"13546","2007-08","Marko","Liias",0
"646","2001-02","Kelli","Linville",1
"250","2001-02","Barbara","Lisk",1
"15737","2009-10","Steve","Litzow",0
"647","2001-02","Jeanine","Long",1
"13544","2007-08","Liz","Loomis",1
"29548","2019-20","Liz","Lovelett",1
"3476","2001-02","John","Lovick",0
"7672","2001-02","Toni","Lysen",1
"15818","2011-12","Kristine","Lytton",1
"17221","2013-14","Drew","MacEwen",0
"26178","2017-18","Nicole","Macri",1
"17220","2013-14","Chad","Magendanz",0
"17213","2019-20","Matt","Manweller",0
"6307","2001-02","Joe","Marine",0
"11968","2007-08","Chris","Marr",0
"648","2001-02","Dave","Mastin",0
"14204","2009-10","Marcie","Maxwell",1
"14115","2017-18","Jacquelin","Maycumber",1
"564","2001-02","Rosemary","McAuliffe",1
"20754","2015-16","Joan","McBride",1
"20759","2015-16","Gina","McCabe",1
"268","2001-02","Bob","McCaslin",0
"20741","2015-16","Bob","McCaslin",0
"8211","2003-04","John","McCoy",0
"2584","2005-06","Jim","McCune",0
"5141","2001-02","Joe","McDermott",0
"269","2001-02","Dan","McDonald",0
"1887","2003-04","Joyce","McDonald",1
"9951","2003-04","Sean","McGrath",0
"3447","2001-02","Jim","McIntire",0
"1648","2003-04","Lois","McMahan",1
"1157","2001-02","Cathy","McMorris",1
"18325","2019-20","Jared","Mead",0
"2172","2001-02","Tom","Mielke",0
"3478","2019-20","Mark","Miloscia",0
"286","2001-02","Maryann","Mitchell",1
"8212","2003-04","Jim","Moeller",0
"5162","2001-02","Dave","Morell",0
"29103","2019-20","Melanie","Morgan",1
"8208","2003-04","Dawn","Morrell",1
"2144","2001-02","Jeff","Morris",0
"295","2001-02","Bob","Morton",0
"20759","2015-16","Gina","Mosbrucker",1
"15772","2009-10","Luis","Moscoso",0
"17226","2013-14","Mark","Mullet",0
"1590","2001-02","Joyce","Mulliken",1
"18038","2013-14","Dick","Muri",0
"1907","2001-02","Ed","Murray",0
"6344","2003-04","Brian","Murray",0
"15097","2009-10","Terry","Nealey",0
"13161","2019-20","Sharon","Nelson",1
"8236","2003-04","Daniel","Newhouse",0
"29088","2019-20","Joe","Nguyen",0
"7671","2001-02","Toby","Nixon",0
"17217","2013-14","Steve","O'Ban",0
"2149","2001-02","Al","O'Brien",0
"12067","2007-08","Eric","Oemig",0
"315","2001-02","Val","Ogden",1
"316","2001-02","Bob","Oke",0
"7635","2001-02","Ed","Orcutt",0
"9207","2003-04","Timm","Ormsby",0
"18546","2013-14","Lillian","Ortiz-Self",1
"14205","2009-10","Tina","Orwall",1
"15819","2011-12","Jason","Overstreet",0
"322","2011-12","Mike","Padden",0
"27225","2017-18","Guy","Palumbo",0
"14186","2009-10","Kevin","Parker",0
"2142","2001-02","Linda Evans","Parlette",1
"973","2001-02","Julia","Patterson",1
"29095","2019-20","Dave","Paul",0
"5163","2001-02","Kirk","Pearson",0
"12002","2007-08","Jamie","Pedersen",0
"26177","2017-18","Mike","Pellicciotti",0
"1591","2001-02","John","Pennington",0
"20755","2015-16","Strom","Peterson",0
"8286","2003-04","Eric","Pettigrew",0
"3479","2001-02","Cheryl","Pflug",1
"17158","2011-12","Liz","Pike",1
"16596","2011-12","Gerry","Pollet",0
"1658","2001-02","Erik","Poulsen",0
"337","2001-02","Margarita","Prentice",1
"10056","2005-06","Craig","Pridemore",0
"8297","2003-04","Skip","Priest",0
"14201","2009-10","Tim","Probst",0
"649","2001-02","Dave","Quall",0
"29091","2019-20","Bill","Ramos",0
"29112","2019-20","Emily","Randall",1
"14074","2019-20","Kevin","Ranker",0
"347","2001-02","Marilyn","Rasmussen",1
"3480","2001-02","Aaron","Reardon",0
"27182","2017-18","Kristine","Reeves",1
"1595","2001-02","Debbie","Regala",1
"4529","2011-12","Chris","Reykdal",0
"15706","2013-14","Marcus","Riccelli",0
"15814","2011-12","Ann","Rivers",1
"5164","2001-02","Dan","Roach",0
"361","2001-02","Pam","Roach",1
"10058","2005-06","Mary Helen","Roberts",1
"18265","2013-14","June","Robinson",1
"3481","2001-02","Phil","Rockefeller",0
"9710","2003-04","Jay","Rodne",0
"11998","2007-08","Christine","Rolfes",1
"651","2001-02","Sandra","Romero",1
"12082","2007-08","Charles","Ross",0
"17204","2015-16","JD","Rossetti",0
"2140","2001-02","Dino","Rossi",0
"18701","2013-14","Douglas","Roulstone",0
"20837","2019-20","Skyler","Rude",0
"3482","2001-02","Laura","Ruderman",1
"15736","2011-12","Cindy","Ryu",1
"27290","2017-18","Rebecca","Saldaña",1
"29089","2019-20","Jesse","Salomon",0
"3483","2001-02","Sharon Tomiko","Santos",1
"17224","2013-14","David","Sawyer",0
"3249","2001-02","Lynn","Schindler",1
"17687","2013-14","Nathan","Schlicher",0
"13209","2007-08","Joe","Schmick",0
"1592","2001-02","Dave","Schmidt",0
"652","2001-02","Mark","Schoesler",0
"3484","2001-02","Shay","Schual-Berke",1
"17222","2013-14","Elizabeth","Scott",1
"12068","2007-08","Larry","Seaquist",0
"653","2001-02","Barry","Sehlin",0
"9997","2005-06","Mike","Sells",0
"18057","2013-14","Tana","Senn",1
"10004","2005-06","John","Serben",0
"8213","2003-04","Jan","Shabro",1
"14202","2009-10","Matt","Shea",0
"654","2001-02","Larry","Sheahan",0
"512","2001-02","Betti","Sheldon",1
"394","2001-02","Tim","Sheldon",0
"29108","2019-20","Sharon","Shewmake",1
"655","2001-02","Paull","Shin",0
"11952","2009-10","Shelly","Short",1
"5157","2001-02","Geoff","Simpson",0
"9608","2003-04","David","Simpson",0
"1609","2001-02","Mary","Skinner",1
"27504","2017-18","Vandana","Slatter",1
"13577","2007-08","Norma","Smith",1
"17613","2013-14","John","Smith",0
"405","2001-02","Sid","Snyder",0
"407","2001-02","Helen","Sommers",1
"409","2001-02","Harriet","Spanel",1
"10039","2005-06","Larry","Springer",0
"12017","2015-16","Melanie ","Stambaugh",1
"15809","2011-12","Derek","Stanford",0
"10546","2017-18","Mike","Steele",0
"657","2001-02","Val","Stevens",1
"20756","2015-16","Drew","Stokesbary",0
"17279","2013-14","Monica","Stonier",1
"17279","2013-14","Monica Jurado","Stonier",1
"519","2005-06","Chris","Strow",0
"7240","2001-02","Brian","Sullivan",0
"1218","2005-06","Pat","Sullivan",0
"2160","2001-02","Bob","Sump",0
"29105","2019-20","Robert","Sutherland",0
"1666","2001-02","Dan","Swecker",0
"10249","2005-06","Dean","Takko",0
"658","2001-02","Gigi","Talcott",1
"17243","2013-14","Gael","Tarleton",1
"15006","2009-10","David","Taylor",0
"29107","2019-20","My-Linh","Thai",1
"15816","2011-12","Steve","Tharinger",0
"659","2001-02","Pat","Thibaudeau",1
"1661","2001-02","Kip","Tokuda",0
"8214","2003-04","Rodney","Tom",0
"1712","2001-02","Dave","Upthegrove",0
"27975","2017-18","Javier","Valdez",0
"12003","2007-08","Kevin","Van De Wege",0
"443","2001-02","Steve","Van Luven",0
"20757","2015-16","Luanne","Van Werven",1
"661","2001-02","Velma","Veloria",1
"17218","2013-14","Brandon","Vick",0
"26170","2017-18","Mike","Volz",0
"28317","2017-18","Keith","Wagoner",0
"29109","2019-20","Amy","Walen",1
"18281","2013-14","Brady","Walkinshaw",0
"8420","2003-04","Deb","Wallace",1
"1232","2005-06","Maureen","Walsh",1
"27181","2017-18","Jim","Walsh",0
"12084","2007-08","Judy","Warnick",1
"10057","2005-06","Brian","Weinstein",0
"27211","2017-18","Lisa","Wellman",1
"460","2001-02","James","West",0
"14206","2009-10","Scott","White",0
"15810","2011-12","J.T.","Wilcox",0
"1611","2005-06","Brendan","Williams",0
"20758","2015-16","Lynda","Wilson",1
"29090","2019-20","Claire","Wilson",1
"475","2001-02","Shirley","Winsley",1
"2166","2001-02","Alex","Wood",0
"4563","2001-02","Beverly","Woods",1
"16462","2011-12","Sharon","Wylie",1
"481","2001-02","John","Wynne",0
"11176","2005-06","Jon","Wyss",0
"29318","2019-20","Alex","Ybarra",0
"18516","2013-14","Jesse","Young",0
"1922","2001-02","Joseph","Zarelli",0
"4006","2011-12","Hans","Zeiger",0
"29908","2019-20","Ron","Muzzall",0
"30127","2019-20","Alex","Ramel",0
"30221","2019-20","Jesse","Johnson",0
"17373","2019-20","Emily","Wicks",1
